%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1.57E+18,21325,1.57E+18,base_imu_link,-0.034587001,0.060588773,-0.308770578,0.948574441,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.9193125,-1.02963,9.671933594,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21326,1.57E+18,base_imu_link,-0.0346592,0.060621768,-0.308930842,0.948517515,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.943444453,-1.077510859,9.643205078,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21327,1.57E+18,base_imu_link,-0.034967446,0.060876579,-0.308401779,0.948662038,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.885987422,-0.948041016,9.700662109,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21328,1.57E+18,base_imu_link,-0.034596709,0.060650296,-0.308185505,0.948760404,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.809378047,-1.101259766,9.772674922,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21329,1.57E+18,base_imu_link,-0.035191256,0.060212271,-0.30836375,0.94870852,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-1.005498047,-1.058358516,9.667337031,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21330,1.57E+18,base_imu_link,-0.03526514,0.06079509,-0.308479864,0.948630856,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.938464844,-1.053378906,9.858477422,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21331,1.57E+18,base_imu_link,-0.035342616,0.060825094,-0.308557339,0.948600852,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-1.020053828,-0.972172969,9.614476563,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21332,1.57E+18,base_imu_link,-0.034996998,0.061276284,-0.308782552,0.94851134,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.976769531,-1.053378906,9.815576172,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21333,1.57E+18,base_imu_link,-0.035046508,0.061456274,-0.308434816,0.948611002,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.794822266,-1.024650391,9.657760859,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21334,1.57E+18,base_imu_link,-0.035291664,0.060779697,-0.308065916,0.948765365,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.785246094,-0.914715938,9.705641719,0.04,0,0,0,0.04,0,0,0,0.04
